id,has_index,dataset,dataset_size,operation,relational_point_count,relational_has_errors,relational_time_elapsed,relational_avg_time_per_point,spatial_core_point_count,spatial_core_has_errors,spatial_core_time_elapsed,spatial_core_avg_time_per_point,spatial_postgis_point_count,spatial_postgis_has_errors,spatial_postgis_time_elapsed,spatial_postgis_avg_time_per_point,rsc_ratio,rsp_ratio,spsc_ration,best,created_at
79,f,routers_s,145,Update Multiple - Rotated Rectangle,23,f,63.478,2.760,23,f,26.235,1.141,23,f,36.402,1.583,2.420,1.744,1.388,Spatial Core,2019-06-04 20:44:12.023181+02
220,t,routers_s,145,Update Multiple - Rotated Rectangle,23,f,87.222,3.792,23,f,26.946,1.172,23,f,53.339,2.319,3.237,1.635,1.979,Spatial Core,2019-06-04 21:57:26.130815+02
77,f,routers_s,145,Update Single,1,f,87.025,87.025,1,f,25.889,25.889,1,f,57.371,57.371,3.361,1.517,2.216,Spatial Core,2019-06-04 20:43:28.251791+02
218,t,routers_s,145,Update Single,1,f,40.726,40.726,1,f,29.002,29.002,1,f,54.940,54.940,1.404,0.741,1.894,Spatial Core,2019-06-04 21:56:57.724901+02
14,f,uniform_s,145,Delete Multiple - Circle,1,f,59.631,59.631,1,f,25.706,25.706,1,f,47.843,47.843,2.320,1.246,1.861,Spatial Core,2019-06-03 20:22:24.831941+02
155,t,uniform_s,145,Delete Multiple - Circle,1,f,60.466,60.466,1,f,25.506,25.506,1,f,36.884,36.884,2.371,1.639,1.446,Spatial Core,2019-06-04 21:21:28.656576+02
12,f,uniform_s,145,Delete Multiple - Rectangle,1,f,60.637,60.637,1,f,25.735,25.735,1,f,47.572,47.572,2.356,1.275,1.849,Spatial Core,2019-06-03 20:21:57.941912+02
153,t,uniform_s,145,Delete Multiple - Rectangle,1,f,58.732,58.732,1,f,30.296,30.296,1,f,50.858,50.858,1.939,1.155,1.679,Spatial Core,2019-06-04 21:20:49.970731+02
13,f,uniform_s,145,Delete Multiple - Rotated Rectangle,1,f,60.274,60.274,1,f,24.686,24.686,1,f,44.849,44.849,2.442,1.344,1.817,Spatial Core,2019-06-03 20:22:13.24187+02
154,t,uniform_s,145,Delete Multiple - Rotated Rectangle,1,f,61.278,61.278,1,f,28.235,28.235,1,f,51.982,51.982,2.170,1.179,1.841,Spatial Core,2019-06-04 21:21:04.701254+02
11,f,uniform_s,145,Delete Single,1,f,31.345,31.345,1,f,27.671,27.671,1,f,50.230,50.230,1.133,0.624,1.815,Spatial Core,2019-06-03 20:21:41.500459+02
152,t,uniform_s,145,Delete Single,1,f,60.366,60.366,1,f,27.567,27.567,1,f,54.307,54.307,2.190,1.112,1.970,Spatial Core,2019-06-04 21:20:39.785208+02
6,f,uniform_s,145,Find Multiple - Circle,2,f,1.852,0.926,2,f,0.568,0.284,2,f,10.261,5.131,3.261,0.180,18.065,Spatial Core,2019-06-03 20:20:07.255756+02
147,t,uniform_s,145,Find Multiple - Circle,2,f,2.135,1.068,2,f,0.850,0.425,2,f,11.062,5.531,2.512,0.193,13.014,Spatial Core,2019-06-04 21:18:44.646409+02
4,f,uniform_s,145,Find Multiple - Rectangle,1,f,1.023,1.023,1,f,0.662,0.662,1,f,10.206,10.206,1.545,0.100,15.417,Spatial Core,2019-06-03 20:19:28.727673+02
145,t,uniform_s,145,Find Multiple - Rectangle,1,f,1.332,1.332,1,f,0.842,0.842,1,f,12.842,12.842,1.582,0.104,15.252,Spatial Core,2019-06-04 21:18:09.326541+02
5,f,uniform_s,145,Find Multiple - Rotated Rectangle,1,f,2.264,2.264,1,f,2.007,2.007,1,f,10.192,10.192,1.128,0.222,5.078,Spatial Core,2019-06-03 20:19:50.329713+02
146,t,uniform_s,145,Find Multiple - Rotated Rectangle,1,f,2.924,2.924,1,f,2.098,2.098,1,f,10.821,10.821,1.394,0.270,5.158,Spatial Core,2019-06-04 21:18:26.957469+02
3,f,uniform_s,145,Find Single,1,f,3.491,3.491,1,f,2.339,2.339,1,f,64.730,64.730,1.493,0.054,27.674,Spatial Core,2019-06-03 20:19:07.321527+02
144,t,uniform_s,145,Find Single,1,f,2.014,2.014,1,f,1.383,1.383,1,f,16.014,16.014,1.456,0.126,11.579,Spatial Core,2019-06-04 21:17:55.686141+02
1,f,uniform_s,145,Insert Multiple,145,f,71.353,0.492,145,f,41.253,0.285,145,f,185.890,1.282,1.730,0.384,4.506,Spatial Core,2019-06-03 19:08:27.384048+02
142,t,uniform_s,145,Insert Multiple,145,f,71.875,0.496,145,f,37.589,0.259,145,f,66.159,0.456,1.912,1.086,1.760,Spatial Core,2019-06-04 21:17:37.911848+02
2,f,uniform_s,145,Insert Single,1,f,60.747,60.747,1,f,26.464,26.464,1,f,52.758,52.758,2.295,1.151,1.994,Spatial Core,2019-06-03 20:18:53.714048+02
143,t,uniform_s,145,Insert Single,1,f,60.676,60.676,1,f,25.862,25.862,1,f,50.355,50.355,2.346,1.205,1.947,Spatial Core,2019-06-04 21:17:47.623623+02
10,f,uniform_s,145,Update Multiple - Circle,2,f,58.077,29.039,2,f,26.072,13.036,2,f,54.766,27.383,2.228,1.060,2.101,Spatial Core,2019-06-03 20:21:30.134834+02
151,t,uniform_s,145,Update Multiple - Circle,2,f,62.307,31.154,2,f,27.935,13.968,2,f,49.494,24.747,2.230,1.259,1.772,Spatial Core,2019-06-04 21:20:32.778584+02
8,f,uniform_s,145,Update Multiple - Rectangle,1,f,62.535,62.535,1,f,26.781,26.781,1,f,50.466,50.466,2.335,1.239,1.884,Spatial Core,2019-06-03 20:20:47.827666+02
149,t,uniform_s,145,Update Multiple - Rectangle,1,f,60.140,60.140,1,f,27.171,27.171,1,f,52.677,52.677,2.213,1.142,1.939,Spatial Core,2019-06-04 21:19:15.321601+02
9,f,uniform_s,145,Update Multiple - Rotated Rectangle,1,f,60.330,60.330,1,f,43.295,43.295,1,f,40.715,40.715,1.393,1.482,0.940,Spatial PostGIS,2019-06-03 20:21:09.678288+02
150,t,uniform_s,145,Update Multiple - Rotated Rectangle,1,f,64.218,64.218,1,f,29.364,29.364,1,f,52.320,52.320,2.187,1.227,1.782,Spatial Core,2019-06-04 21:19:30.474851+02
7,f,uniform_s,145,Update Single,1,f,87.393,87.393,1,f,28.245,28.245,1,f,56.006,56.006,3.094,1.560,1.983,Spatial Core,2019-06-03 20:20:20.982951+02
148,t,uniform_s,145,Update Single,1,f,31.477,31.477,1,f,29.207,29.207,1,f,39.563,39.563,1.078,0.796,1.355,Spatial Core,2019-06-04 21:18:58.498735+02
98,f,routers_m,1452,Delete Multiple - Circle,76,f,61.312,0.807,76,f,25.943,0.341,76,f,51.927,0.683,2.363,1.181,2.002,Spatial Core,2019-06-04 20:50:17.218588+02
239,t,routers_m,1452,Delete Multiple - Circle,76,f,31.095,0.409,76,f,24.714,0.325,76,f,36.550,0.481,1.258,0.851,1.479,Spatial Core,2019-06-05 21:14:58.593725+02
96,f,routers_m,1452,Delete Multiple - Rectangle,78,f,115.057,1.475,78,f,29.547,0.379,78,f,49.795,0.638,3.894,2.311,1.685,Spatial Core,2019-06-04 20:49:18.834928+02
237,t,routers_m,1452,Delete Multiple - Rectangle,78,f,59.599,0.764,78,f,43.509,0.558,78,f,40.603,0.521,1.370,1.468,0.933,Spatial PostGIS,2019-06-05 21:14:30.065136+02
97,f,routers_m,1452,Delete Multiple - Rotated Rectangle,192,f,30.734,0.160,192,f,30.183,0.157,192,f,34.005,0.177,1.018,0.904,1.127,Spatial Core,2019-06-04 20:49:34.944193+02
238,t,routers_m,1452,Delete Multiple - Rotated Rectangle,192,f,65.835,0.343,192,f,33.361,0.174,192,f,53.534,0.279,1.973,1.230,1.605,Spatial Core,2019-06-05 21:14:42.103902+02
95,f,routers_m,1452,Delete Single,1,f,64.177,64.177,1,f,25.806,25.806,1,f,39.035,39.035,2.487,1.644,1.513,Spatial Core,2019-06-04 20:49:06.869963+02
236,t,routers_m,1452,Delete Single,1,f,28.402,28.402,1,f,26.819,26.819,1,f,53.923,53.923,1.059,0.527,2.011,Spatial Core,2019-06-05 21:14:16.018017+02
